name,region,description,latitude,longitude,difficulty,distance_miles,elevation_gain_ft,peak_elevation_ft,permit_url,permit_type,permit_advance_days,permit_open_time,permit_cost,permit_entry_point,permit_notes,trail_info_url
"Bear Lake (Emigrant)","Emigrant Wilderness","A picturesque alpine lake in the Emigrant Wilderness with granite domes and excellent swimming. Less traveled than other Sierra destinations, offering solitude and classic High Sierra beauty without permit hassles.",38.2134,-119.7456,moderate,5.2,1400,8600,"https://www.fs.usda.gov/r05/stanislaus/permits/wilderness-permits",rolling,7,08:00,0,,"FREE permit - no quota system! Self-issue available 24/7 at Summit Ranger Station. One-night camping limit at Bear Lake.","https://www.alltrails.com/trail/us/california/crabtree-trail-to-bear-lake"
"Bearpaw Meadow Campground","Sequoia National Park - Kings Canyon National Park","Bearpaw Meadow Campground is a picturesque destination nestled in the heart of the Sierra Nevada, surrounded by towering trees and stunning mountain vistas. Great base for exploring High Sierra trails.",36.5925,-118.5564,moderate,6.5,1200,7400,"https://www.recreation.gov/permits/233731",rolling,168,07:00,5,"High Sierra Trail","A wilderness permit is required for overnight camping. Bear canisters are recommended. Quotas may apply during peak season.","https://www.alltrails.com/trail/us/california/bearpaw-meadow"
"Big Pine Lakes (First & Second Lake)","Eastern Sierra - John Muir Wilderness","Spectacular turquoise alpine lakes fed by the Palisade Glacier - the southernmost glacier in the US. First and Second Lakes offer accessible camping with views of Temple Crag and the Palisades.",37.1289,-118.4156,moderate,4.8,2297,9957,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Big Pine Creek North Fork","Inyo National Forest permit. EXTREMELY competitive - one of the hardest Sierra permits to get. Bear canister REQUIRED.","https://www.alltrails.com/trail/us/california/big-pine-lakes-trail"
"Chickenfoot Lake","Eastern Sierra - Little Lakes Valley","Part of the stunning Little Lakes Valley chain, Chickenfoot Lake sits at nearly 11,000 feet with minimal elevation gain from the highest trailhead in the Sierra (Mosquito Flat).",37.4289,-118.7456,easy,3.5,500,10761,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Mono Pass","Inyo National Forest permit. Very competitive permits - book exactly 6 months out. Bear canister REQUIRED.","https://www.alltrails.com/trail/us/california/little-lakes-valley-to-gem-lakes"
"Cliff Lake","Sierra Nevada - Dinkey Lakes Wilderness","A beautiful alpine lake nestled beneath dramatic granite cliffs in the Dinkey Lakes Wilderness. Numerous interconnected lakes perfect for day hikes from base camp.",37.1489,-119.1167,moderate,5.1,1358,9485,"https://www.recreation.gov/permits/445858",rolling,180,07:00,5,"Dinkey Lakes","Sierra National Forest permit. Bear canister recommended. Less crowded than nearby wilderness areas.","https://www.alltrails.com/trail/us/california/cliff-lake-via-dinkey-lakes-trail"
"Cottonwood Lakes","Eastern Sierra - Golden Trout Wilderness","High alpine lakes at over 11,000 feet in the Golden Trout Wilderness, accessed via Horseshoe Meadow. Stunning views of the Sierra crest. Lake #3 offers the best camping.",36.4731,-118.1729,moderate,5.5,1300,11105,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Cottonwood Lakes","Inyo National Forest permit. 60% quota released 6 months ahead, 40% released 2 weeks ahead. Bear canister REQUIRED. No campfires.","https://www.alltrails.com/trail/us/california/cottonwood-lakes-trail"
"East Lake","Eastern Sierra - Hoover Wilderness","A stunning alpine lake accessed via the Green Creek Trail in the Hoover Wilderness. Dramatic mountain backdrop with excellent fishing.",38.0892,-119.3748,moderate,4.4,1576,9476,"https://www.recreation.gov/permits/445856",rolling,180,07:00,8,"Green Creek","Hoover Wilderness permit. 50% quota reservable in advance, 50% available 3 days before. Bear canister REQUIRED.","https://www.alltrails.com/trail/us/california/green-lake-and-east-lake-trail"
"Ediza Lake","Eastern Sierra - Ansel Adams Wilderness","A stunning alpine lake beneath the dramatic Minarets, one of the most photographed mountain scenes in the Sierra. Access via Shadow Creek Trail from Agnew Meadows.",37.6689,-119.1847,moderate,6,1500,9300,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"High Trail","Inyo National Forest permit. Quota of 12 advance + 8 walk-up per day. Bear canister REQUIRED. Shuttle required to Agnew Meadows in summer.","https://www.alltrails.com/trail/us/california/ediza-lake"
"Emigrant Lake","Emigrant Wilderness","The namesake lake of the Emigrant Wilderness offers a relatively easy approach with classic granite Sierra scenery. Less crowded than nearby wilderness areas.",38.1456,-119.7847,moderate,4.5,1200,8800,"https://www.fs.usda.gov/r05/stanislaus/permits/wilderness-permits",rolling,7,08:00,0,,"FREE permit - no quota system! Can get permit by phone up to 7 days ahead or self-issue at Summit Ranger Station 24/7.","https://www.alltrails.com/trail/us/california/caples-lake-to-emigrant-lake"
"Gilmore Lake","Desolation Wilderness","A beautiful alpine lake nestled at the base of Mt. Tallac with stunning views of Lake Tahoe from the surrounding ridges. Great base camp for day hikes.",38.9156,-120.0847,moderate,4.5,1700,8300,"https://www.recreation.gov/permits/233261",rolling,180,07:00,10,"Glen Alpine","Desolation Wilderness permit. Bear canister REQUIRED. No campfires. Can combine with Mt. Tallac summit day hike.","https://www.alltrails.com/trail/us/california/gilmore-lake"
"Green Lake","Eastern Sierra - Hoover Wilderness","A beautiful lake along the Green Creek Trail, closer to the trailhead than East Lake. Excellent camping, fishing, and mountain views.",38.0978,-119.2756,easy,3.2,1100,8950,"https://www.recreation.gov/permits/445856",rolling,180,07:00,8,"Green Creek","Hoover Wilderness permit. 50% advance, 50% available 3 days before. Bear canister REQUIRED.","https://www.alltrails.com/trail/us/california/green-lake-and-east-lake-trail"
"Heather Lake","Sierra Nevada - Sequoia","A beautiful alpine lake along the Lakes Trail in Sequoia National Park, part of a chain that includes Aster and Pear Lakes.",36.5789,-118.7256,moderate,4.2,1700,9200,"https://www.recreation.gov/permits/445857",rolling,180,07:00,5,"Lakes Trail (Wolverton)","Sequoia & Kings Canyon permit. Part of the Lakes Trail chain. Bear canister required.",
"Kearsarge Lakes","Eastern Sierra - John Muir Wilderness","A cluster of beautiful alpine lakes accessed via Onion Valley, one of the highest trailheads in the Sierra. Gateway to the backcountry with JMT/PCT connections.",36.7856,-118.3847,moderate,4.5,2600,10800,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Kearsarge Pass","Inyo National Forest permit. Popular as JMT resupply point. Bear canister REQUIRED. Steep but well-maintained trail.",
"Lake Aloha","Desolation Wilderness","The largest lake in Desolation Wilderness, a stunning shallow lake dotted with granite islands. Feels like a High Sierra archipelago.",38.8847,-120.0978,moderate,6.7,1860,8116,"https://www.recreation.gov/permits/233261",rolling,180,07:00,10,"Echo Lakes","Desolation Wilderness permit. Water taxi available from Echo Lakes ($22/person each way). Bear canister REQUIRED. No campfires.",
"Long Lake (Bishop Creek)","Eastern Sierra - John Muir Wilderness","A gorgeous alpine lake along the Bishop Pass Trail with stunning views of the Inconsolable Range. Part of a chain of lakes.",37.1678,-118.5689,moderate,4.8,2100,10750,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Bishop Pass","Inyo National Forest permit. Popular trailhead - competitive permits. Bear canister REQUIRED. Excellent fishing.","https://www.alltrails.com/trail/us/california/long-lake-loop-trail"
"Lower Velma Lake","Desolation Wilderness","One of the classic Desolation Wilderness destinations with stunning granite basins and crystal-clear water. Easy access to Middle and Upper Velma Lakes.",38.9456,-120.1234,moderate,4.7,1824,7785,"https://www.recreation.gov/permits/233261",rolling,180,07:00,10,"Bayview","Desolation Wilderness permit. Zone quota system - book your destination zone. Bear canister REQUIRED. No campfires.","https://www.alltrails.com/trail/us/california/velma-lakes-trail"
