rank,name,total_score,scenery_score,experience_score,accessibility_score,permit_score,ranking_notes,region,description,latitude,longitude,difficulty,distance_miles,elevation_gain_ft,peak_elevation_ft,permit_url,permit_type,permit_advance_days,permit_open_time,permit_cost,permit_entry_point,permit_notes,trail_info_url
1,Thousand Island Lake,81,35,24,14,8,"THE Sierra icon - Banner Peak backdrop, countless islands",Eastern Sierra - Ansel Adams Wilderness,One of the most iconic alpine lakes in the Sierra with countless granite islands and Banner Peak as a backdrop. A bucket-list destination on the JMT/PCT. Longer approach but worth every step.,37.6978,-119.1956,moderate,8.3,2900,9833,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,High Trail,Inyo National Forest permit via Agnew Meadows. Very competitive permits. Bear canister REQUIRED. Consider the High Trail route for best views.,
2,Ediza Lake,80,32,23,16,9,"Classic Minarets shot, photography mecca",Eastern Sierra - Ansel Adams Wilderness,"A stunning alpine lake beneath the dramatic Minarets, one of the most photographed mountain scenes in the Sierra. Access via Shadow Creek Trail from Agnew Meadows offers the most direct route.",37.6689,-119.1847,moderate,6.7,1500,9300,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,High Trail,Inyo National Forest permit. Quota of 12 advance + 8 walk-up per day. Bear canister REQUIRED. Shuttle required to Agnew Meadows in summer.,https://www.alltrails.com/trail/us/california/ediza-lake
3,Big Pine Lakes (First & Second Lake),79,33,23,18,5,"Palisade Glacier views, Temple Crag, stunning turquoise",Eastern Sierra - John Muir Wilderness,Spectacular turquoise alpine lakes fed by the Palisade Glacier - the southernmost glacier in the US. First and Second Lakes offer accessible camping with views of Temple Crag and the Palisades. Iconic Eastern Sierra destination.,37.1289,-118.4156,moderate,4.8,2297,9957,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Big Pine Creek North Fork,Inyo National Forest permit. EXTREMELY competitive - one of the hardest Sierra permits to get. Bear canister REQUIRED.,https://www.alltrails.com/trail/us/california/big-pine-lakes-trail
4,Lamarck Lakes,79,28,20,19,12,"Vibrant turquoise, short approach, Darwin Bench gateway",Eastern Sierra - John Muir Wilderness,"Two stunning turquoise alpine lakes nestled below Lamarck Col, a gateway to the remote Darwin Bench. The vibrant blue-green waters contrast dramatically with the surrounding granite, making this a photographer dream destination with relatively easy access.",37.2189,-118.6456,moderate,2.4,1600,10918,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Lamarck Lakes,Inyo National Forest permit via North Lake trailhead. Bear canister REQUIRED. Can be combined with cross-country route over Lamarck Col to Darwin Bench.,https://www.alltrails.com/trail/us/california/lamarck-lakes-trail
5,Rae Lakes,79,34,25,10,10,"Iconic loop, turquoise waters, Fin Dome views",Sierra Nevada - Kings Canyon,"One of the most stunning alpine lake chains in the Sierra, featuring crystal-clear turquoise waters surrounded by dramatic peaks including Fin Dome. A highlight of the famous Rae Lakes Loop.",36.8123,-118.4156,strenuous,20,4000,10550,https://www.recreation.gov/permits/445857,rolling,180,07:00,5,Woods Creek,Sequoia & Kings Canyon permit. Part of the iconic Rae Lakes Loop. Bear canister REQUIRED. Very competitive permits.,https://www.alltrails.com/trail/us/california/rae-lakes-loop
6,Lake Aloha,77,28,22,15,12,"Unique island-dotted lake, water taxi option",Desolation Wilderness,"The largest lake in Desolation Wilderness, Lake Aloha is a stunning shallow lake dotted with granite islands. Accessible via Echo Lakes (with optional water taxi) or Glen Alpine. Feels like a High Sierra archipelago.",38.8847,-120.0978,moderate,6.7,1860,8116,https://www.recreation.gov/permits/233261,rolling,180,07:00,10,Echo Lakes,"Desolation Wilderness permit. Water taxi available from Echo Lakes ($22/person each way, saves 2.5 miles). Bear canister REQUIRED. No campfires.",
7,20 Lakes Basin,76,25,20,19,12,"Many lakes, water taxi, highest drive-to lake",Eastern Sierra - Hoover Wilderness,"A stunning collection of alpine lakes near Saddlebag Lake, one of the highest drive-to lakes in California. Short approaches to multiple beautiful lakes.",37.9678,-119.2789,easy,3.5,800,10100,https://www.recreation.gov/permits/445856,rolling,180,07:00,8,Saddlebag Lake,Hoover Wilderness permit. Water taxi available across Saddlebag Lake. Bear canister REQUIRED. High altitude - acclimate first.,https://www.alltrails.com/trail/us/california/20-lakes-basin
8,Garnet Lake,76,30,22,14,10,"Banner/Ritter views, great swimming, less crowded than TI",Eastern Sierra - Ansel Adams Wilderness,"A stunning lake beneath Banner Peak and Mt. Ritter, one of the most scenic spots in the Ansel Adams Wilderness. Less crowded than nearby Thousand Island Lake.",37.6834,-119.2012,moderate,7,2400,9680,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,High Trail,Inyo National Forest permit. Adjacent to Thousand Island Lake. Bear canister REQUIRED. Excellent swimming.,https://www.alltrails.com/trail/us/california/garnet-lake-trail
9,Kearsarge Lakes,76,27,21,17,11,"JMT gateway, dramatic peaks, resupply point",Eastern Sierra - John Muir Wilderness,"A cluster of beautiful alpine lakes accessed via Onion Valley, one of the highest trailheads in the Sierra. Gateway to the backcountry with options to continue to Charlotte Lake or connect to the JMT/PCT.",36.7856,-118.3847,moderate,6,2600,10800,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Kearsarge Pass,Inyo National Forest permit. Popular as JMT resupply point. Bear canister REQUIRED. Steep but well-maintained trail.,
10,Ruby Lake,76,28,21,17,10,"Stunning glacial cirque, highest trailhead access",Eastern Sierra - Little Lakes Valley,"A stunning glacial lake at over 11,000 feet, Ruby Lake sits in a dramatic granite cirque at the head of Little Lakes Valley. The turquoise waters surrounded by rugged peaks make this one of the most photographed destinations in the Eastern Sierra.",37.4156,-118.7623,moderate,2.1,1100,11121,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Mono Pass,"Inyo National Forest permit. Starts from Mosquito Flat, the highest trailhead in the Sierra. Bear canister REQUIRED. Very competitive permits.",https://www.alltrails.com/trail/us/california/ruby-lake-trail
11,Evolution Basin,75,32,25,6,12,"Remote JMT highlight, Evolution Range grandeur",Eastern Sierra - John Muir Wilderness,"A spectacular high alpine basin along the John Muir Trail, featuring Evolution Lake and stunning views of the Evolution Range. One of the most beautiful stretches of the JMT.",37.1567,-118.6789,strenuous,15,5200,11000,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Piute Pass,Inyo National Forest permit. Remote and challenging. Bear canister REQUIRED. Multi-day trip recommended.,https://www.alltrails.com/trail/us/california/john-muir-trail-to-evolution-basin
12,Pear Lake,75,27,21,15,12,"Dramatic granite cirque, winter ski hut",Sierra Nevada - Sequoia,"A stunning alpine lake in the Tablelands area of Sequoia National Park, accessed from Wolverton. The dramatic granite cirque setting and deep blue water make this one of the park's most beautiful backcountry destinations.",36.5689,-118.7156,moderate,6.2,2300,9510,https://www.recreation.gov/permits/445857,rolling,180,07:00,5,Lakes Trail (Wolverton),Sequoia & Kings Canyon permit. Popular destination - book early. Bear canister required. Winter ski hut at Pear Lake.,
